ticker,company,filing_year,physical_risk_score,transition_risk_score,litigation_risk_score,opportunity_score,overall_climate_risk_score,confidence,evidence,provider,industry,risk_minus_opportunity,transition_minus_physical,climate_risk_z,risk_rank,climate_portfolio
XOM,Exxon Mobil,2021,4,4,3,0,3.85,0.95,"[""Climate change regulation, carbon price mechanisms, greenhouse gas emissions standards, and the energy transition could materially affect demand for our products and capital expenditure plans."", ""Severe storms, hurricanes, flooding, and other extreme weather may disrupt refineries, pipelines, and supply chain operations."", ""Environmental litigation and compliance proceedings may also adversely affect operating results.""]",rules,energy,3.85,0,1.2117649447123258,0.95,high
NEE,NextEra Energy,2021,5,4,0,4,3.4,0.95,"[""Our operations face physical risk from hurricanes, wildfire, heat, drought, and water scarcity."", ""Emissions regulation, renewable portfolio standards, decarbonization requirements, and coal plant retirement could require significant capital expenditure."", ""We also see opportunity in renewable energy, energy efficiency, and low-carbon grid investment.""]",rules,utilities,2.0,-1,0.8002221333005924,0.75,high
AAPL,Apple,2021,2,1,0,3,0.95,0.77,"[""Extreme weather could disrupt logistics or data center operations, but we do not expect a material adverse effect."", ""We continue to purchase renewable energy and improve energy efficiency across operations.""]",rules,technology,-0.09999999999999987,-1,-1.4403998399410654,0.15,low
MSFT,Microsoft,2021,2,1,0,3,0.95,0.77,"[""Extreme weather could disrupt logistics or data center operations, but we do not expect a material adverse effect."", ""We continue to purchase renewable energy and improve energy efficiency across operations.""]",rules,technology,-0.09999999999999987,-1,-1.4403998399410654,0.15,low
TSLA,Tesla,2021,0,3,1,3,1.2,0.93,"[""Fuel economy rules, emissions regulation, electrification, and changing consumer preferences are significant to our business model."", ""Demand for electric vehicle products creates low-carbon opportunity, while battery supply chains may face climate-related disruption and compliance risk.""]",rules,automobiles,0.15000000000000013,3,-1.2117649447123247,0.3,low
DAL,Delta Air Lines,2021,4,4,3,0,3.85,0.95,"[""Carbon tax proposals, sustainable aviation fuel mandates, greenhouse gas emissions regulation, and energy transition policies could materially increase operating costs."", ""Hurricanes, storms, heat, and extreme weather may disrupt flight operations."", ""Climate litigation and environmental claims remain possible.""]",rules,airlines,3.85,0,1.2117649447123258,0.95,high
WMT,Walmart,2021,4,2,0,3,2.2,0.95,"[""Extreme weather, hurricanes, flooding, drought, and heat may disrupt stores, distribution centers, and suppliers."", ""We monitor greenhouse gas emissions, renewable energy procurement, and energy efficiency initiatives, though climate risks are one of many operating risks.""]",rules,retail,1.1500000000000004,-2,-0.29722536379736214,0.4,middle
DUK,Duke Energy,2021,5,4,0,4,3.4,0.95,"[""Our operations face physical risk from hurricanes, wildfire, heat, drought, and water scarcity."", ""Emissions regulation, renewable portfolio standards, decarbonization requirements, and coal plant retirement could require significant capital expenditure."", ""We also see opportunity in renewable energy, energy efficiency, and low-carbon grid investment.""]",rules,utilities,2.0,-1,0.8002221333005924,0.75,high
CAT,Caterpillar,2021,4,3,0,3,2.65,0.95,"[""Emissions regulation, carbon price policies, decarbonization, and changing customer demand may affect heavy equipment markets."", ""Physical risk from storms, flooding, and supply chain disruption could affect production."", ""Clean technology and energy efficiency investments may create opportunity.""]",rules,industrials,1.6,-1,0.11431744761437071,0.5,middle
JPM,JPMorgan Chase,2021,3,3,3,2,2.8,0.95,"[""Climate-related disclosure, litigation, and compliance expectations may affect risk management."", ""Borrowers may be exposed to flood, wildfire, drought, carbon price policies, and transition risk."", ""We are developing sustainable product and green infrastructure financing capabilities.""]",rules,financials,2.0999999999999996,0,0.25149838475161496,0.6,middle
XOM,Exxon Mobil,2022,4,4,3,0,3.85,0.95,"[""Climate change regulation, carbon price mechanisms, greenhouse gas emissions standards, and the energy transition could materially affect demand for our products and capital expenditure plans."", ""Severe storms, hurricanes, flooding, and other extreme weather may disrupt refineries, pipelines, and supply chain operations."", ""Environmental litigation and compliance proceedings may also adversely affect operating results.""]",rules,energy,3.85,0,1.2117649447123258,0.95,high
NEE,NextEra Energy,2022,5,4,0,4,3.4,0.95,"[""Our operations face physical risk from hurricanes, wildfire, heat, drought, and water scarcity."", ""Emissions regulation, renewable portfolio standards, decarbonization requirements, and coal plant retirement could require significant capital expenditure."", ""We also see opportunity in renewable energy, energy efficiency, and low-carbon grid investment.""]",rules,utilities,2.0,-1,0.8002221333005924,0.75,high
AAPL,Apple,2022,2,1,0,3,0.95,0.77,"[""Extreme weather could disrupt logistics or data center operations, but we do not expect a material adverse effect."", ""We continue to purchase renewable energy and improve energy efficiency across operations.""]",rules,technology,-0.09999999999999987,-1,-1.4403998399410654,0.15,low
MSFT,Microsoft,2022,2,1,0,3,0.95,0.77,"[""Extreme weather could disrupt logistics or data center operations, but we do not expect a material adverse effect."", ""We continue to purchase renewable energy and improve energy efficiency across operations.""]",rules,technology,-0.09999999999999987,-1,-1.4403998399410654,0.15,low
TSLA,Tesla,2022,0,3,1,3,1.2,0.93,"[""Fuel economy rules, emissions regulation, electrification, and changing consumer preferences are significant to our business model."", ""Demand for electric vehicle products creates low-carbon opportunity, while battery supply chains may face climate-related disruption and compliance risk.""]",rules,automobiles,0.15000000000000013,3,-1.2117649447123247,0.3,low
DAL,Delta Air Lines,2022,4,4,3,0,3.85,0.95,"[""Carbon tax proposals, sustainable aviation fuel mandates, greenhouse gas emissions regulation, and energy transition policies could materially increase operating costs."", ""Hurricanes, storms, heat, and extreme weather may disrupt flight operations."", ""Climate litigation and environmental claims remain possible.""]",rules,airlines,3.85,0,1.2117649447123258,0.95,high
WMT,Walmart,2022,4,2,0,3,2.2,0.95,"[""Extreme weather, hurricanes, flooding, drought, and heat may disrupt stores, distribution centers, and suppliers."", ""We monitor greenhouse gas emissions, renewable energy procurement, and energy efficiency initiatives, though climate risks are one of many operating risks.""]",rules,retail,1.1500000000000004,-2,-0.29722536379736214,0.4,middle
DUK,Duke Energy,2022,5,4,0,4,3.4,0.95,"[""Our operations face physical risk from hurricanes, wildfire, heat, drought, and water scarcity."", ""Emissions regulation, renewable portfolio standards, decarbonization requirements, and coal plant retirement could require significant capital expenditure."", ""We also see opportunity in renewable energy, energy efficiency, and low-carbon grid investment.""]",rules,utilities,2.0,-1,0.8002221333005924,0.75,high
CAT,Caterpillar,2022,4,3,0,3,2.65,0.95,"[""Emissions regulation, carbon price policies, decarbonization, and changing customer demand may affect heavy equipment markets."", ""Physical risk from storms, flooding, and supply chain disruption could affect production."", ""Clean technology and energy efficiency investments may create opportunity.""]",rules,industrials,1.6,-1,0.11431744761437071,0.5,middle
JPM,JPMorgan Chase,2022,3,3,3,2,2.8,0.95,"[""Climate-related disclosure, litigation, and compliance expectations may affect risk management."", ""Borrowers may be exposed to flood, wildfire, drought, carbon price policies, and transition risk."", ""We are developing sustainable product and green infrastructure financing capabilities.""]",rules,financials,2.0999999999999996,0,0.25149838475161496,0.6,middle
XOM,Exxon Mobil,2023,4,4,3,0,3.85,0.95,"[""Climate change regulation, carbon price mechanisms, greenhouse gas emissions standards, and the energy transition could materially affect demand for our products and capital expenditure plans."", ""Severe storms, hurricanes, flooding, and other extreme weather may disrupt refineries, pipelines, and supply chain operations."", ""Environmental litigation and compliance proceedings may also adversely affect operating results.""]",rules,energy,3.85,0,1.1086095244217358,0.9,high
NEE,NextEra Energy,2023,5,4,0,4,3.4,0.95,"[""Our operations face physical risk from hurricanes, wildfire, heat, drought, and water scarcity."", ""Emissions regulation, renewable portfolio standards, decarbonization requirements, and coal plant retirement could require significant capital expenditure."", ""We also see opportunity in renewable energy, energy efficiency, and low-carbon grid investment.""]",rules,utilities,2.0,-1,0.7188639884922193,0.75,high
AAPL,Apple,2023,2,1,0,3,0.95,0.77,"[""Extreme weather could disrupt logistics or data center operations, but we do not expect a material adverse effect."", ""We continue to purchase renewable energy and improve energy efficiency across operations.""]",rules,technology,-0.09999999999999987,-1,-1.4030839293462591,0.15,low
MSFT,Microsoft,2023,2,1,0,3,0.95,0.77,"[""Extreme weather could disrupt logistics or data center operations, but we do not expect a material adverse effect."", ""We continue to purchase renewable energy and improve energy efficiency across operations.""]",rules,technology,-0.09999999999999987,-1,-1.4030839293462591,0.15,low
TSLA,Tesla,2023,0,3,1,3,1.2,0.93,"[""Fuel economy rules, emissions regulation, electrification, and changing consumer preferences are significant to our business model."", ""Demand for electric vehicle products creates low-carbon opportunity, while battery supply chains may face climate-related disruption and compliance risk.""]",rules,automobiles,0.15000000000000013,3,-1.1865586316076389,0.3,low
DAL,Delta Air Lines,2023,4,5,3,0,4.3,0.95,"[""Carbon tax proposals, sustainable aviation fuel mandates, greenhouse gas emissions regulation, and energy transition policies could materially increase operating costs."", ""Hurricanes, storms, heat, and extreme weather may disrupt flight operations."", ""Climate litigation and environmental claims remain possible.""]",rules,airlines,4.3,1,1.498355060351252,1.0,high
WMT,Walmart,2023,4,2,0,3,2.2,0.95,"[""Extreme weather, hurricanes, flooding, drought, and heat may disrupt stores, distribution centers, and suppliers."", ""We monitor greenhouse gas emissions, renewable energy procurement, and energy efficiency initiatives, though climate risks are one of many operating risks.""]",rules,retail,1.1500000000000004,-2,-0.3204574406531577,0.4,middle
DUK,Duke Energy,2023,5,4,0,4,3.4,0.95,"[""Our operations face physical risk from hurricanes, wildfire, heat, drought, and water scarcity."", ""Emissions regulation, renewable portfolio standards, decarbonization requirements, and coal plant retirement could require significant capital expenditure."", ""We also see opportunity in renewable energy, energy efficiency, and low-carbon grid investment.""]",rules,utilities,2.0,-1,0.7188639884922193,0.75,high
CAT,Caterpillar,2023,4,3,0,3,2.65,0.95,"[""Emissions regulation, carbon price policies, decarbonization, and changing customer demand may affect heavy equipment markets."", ""Physical risk from storms, flooding, and supply chain disruption could affect production."", ""Clean technology and energy efficiency investments may create opportunity.""]",rules,industrials,1.6,-1,0.06928809527635854,0.5,middle
JPM,JPMorgan Chase,2023,3,3,3,2,2.8,0.95,"[""Climate-related disclosure, litigation, and compliance expectations may affect risk management."", ""Borrowers may be exposed to flood, wildfire, drought, carbon price policies, and transition risk."", ""We are developing sustainable product and green infrastructure financing capabilities.""]",rules,financials,2.0999999999999996,0,0.1992032739195306,0.6,middle
XOM,Exxon Mobil,2024,4,4,3,0,3.85,0.95,"[""Climate change regulation, carbon price mechanisms, greenhouse gas emissions standards, and the energy transition could materially affect demand for our products and capital expenditure plans."", ""Severe storms, hurricanes, flooding, and other extreme weather may disrupt refineries, pipelines, and supply chain operations."", ""Environmental litigation and compliance proceedings may also adversely affect operating results.""]",rules,energy,3.85,0,1.1086095244217358,0.9,high
NEE,NextEra Energy,2024,5,4,0,4,3.4,0.95,"[""Our operations face physical risk from hurricanes, wildfire, heat, drought, and water scarcity."", ""Emissions regulation, renewable portfolio standards, decarbonization requirements, and coal plant retirement could require significant capital expenditure."", ""We also see opportunity in renewable energy, energy efficiency, and low-carbon grid investment.""]",rules,utilities,2.0,-1,0.7188639884922193,0.75,high
AAPL,Apple,2024,2,1,0,3,0.95,0.77,"[""Extreme weather could disrupt logistics or data center operations, but we do not expect a material adverse effect."", ""We continue to purchase renewable energy and improve energy efficiency across operations.""]",rules,technology,-0.09999999999999987,-1,-1.4030839293462591,0.15,low
MSFT,Microsoft,2024,2,1,0,3,0.95,0.77,"[""Extreme weather could disrupt logistics or data center operations, but we do not expect a material adverse effect."", ""We continue to purchase renewable energy and improve energy efficiency across operations.""]",rules,technology,-0.09999999999999987,-1,-1.4030839293462591,0.15,low
TSLA,Tesla,2024,0,3,1,3,1.2,0.93,"[""Fuel economy rules, emissions regulation, electrification, and changing consumer preferences are significant to our business model."", ""Demand for electric vehicle products creates low-carbon opportunity, while battery supply chains may face climate-related disruption and compliance risk.""]",rules,automobiles,0.15000000000000013,3,-1.1865586316076389,0.3,low
DAL,Delta Air Lines,2024,4,5,3,0,4.3,0.95,"[""Carbon tax proposals, sustainable aviation fuel mandates, greenhouse gas emissions regulation, and energy transition policies could materially increase operating costs."", ""Hurricanes, storms, heat, and extreme weather may disrupt flight operations."", ""Climate litigation and environmental claims remain possible.""]",rules,airlines,4.3,1,1.498355060351252,1.0,high
WMT,Walmart,2024,4,2,0,3,2.2,0.95,"[""Extreme weather, hurricanes, flooding, drought, and heat may disrupt stores, distribution centers, and suppliers."", ""We monitor greenhouse gas emissions, renewable energy procurement, and energy efficiency initiatives, though climate risks are one of many operating risks.""]",rules,retail,1.1500000000000004,-2,-0.3204574406531577,0.4,middle
DUK,Duke Energy,2024,5,4,0,4,3.4,0.95,"[""Our operations face physical risk from hurricanes, wildfire, heat, drought, and water scarcity."", ""Emissions regulation, renewable portfolio standards, decarbonization requirements, and coal plant retirement could require significant capital expenditure."", ""We also see opportunity in renewable energy, energy efficiency, and low-carbon grid investment.""]",rules,utilities,2.0,-1,0.7188639884922193,0.75,high
CAT,Caterpillar,2024,4,3,0,3,2.65,0.95,"[""Emissions regulation, carbon price policies, decarbonization, and changing customer demand may affect heavy equipment markets."", ""Physical risk from storms, flooding, and supply chain disruption could affect production."", ""Clean technology and energy efficiency investments may create opportunity.""]",rules,industrials,1.6,-1,0.06928809527635854,0.5,middle
JPM,JPMorgan Chase,2024,3,3,3,2,2.8,0.95,"[""Climate-related disclosure, litigation, and compliance expectations may affect risk management."", ""Borrowers may be exposed to flood, wildfire, drought, carbon price policies, and transition risk."", ""We are developing sustainable product and green infrastructure financing capabilities.""]",rules,financials,2.0999999999999996,0,0.1992032739195306,0.6,middle
