ticker,company,industry,filing_year,disclosure_text
XOM,Exxon Mobil,energy,2021,"Climate change regulation, carbon price mechanisms, greenhouse gas emissions standards, and the energy transition could materially affect demand for our products and capital expenditure plans. Severe storms, hurricanes, flooding, and other extreme weather may disrupt refineries, pipelines, and supply chain operations. Environmental litigation and compliance proceedings may also adversely affect operating results. Management continues to evaluate these risks."
NEE,NextEra Energy,utilities,2021,"Our operations face physical risk from hurricanes, wildfire, heat, drought, and water scarcity. Emissions regulation, renewable portfolio standards, decarbonization requirements, and coal plant retirement could require significant capital expenditure. We also see opportunity in renewable energy, energy efficiency, and low-carbon grid investment. Management continues to evaluate these risks."
AAPL,Apple,technology,2021,"Climate-related matters may affect facilities, suppliers, and electricity procurement. Extreme weather could disrupt logistics or data center operations, but we do not expect a material adverse effect. We continue to purchase renewable energy and improve energy efficiency across operations. Management continues to evaluate these risks."
MSFT,Microsoft,technology,2021,"Climate-related matters may affect facilities, suppliers, and electricity procurement. Extreme weather could disrupt logistics or data center operations, but we do not expect a material adverse effect. We continue to purchase renewable energy and improve energy efficiency across operations. Management continues to evaluate these risks."
TSLA,Tesla,automobiles,2021,"Fuel economy rules, emissions regulation, electrification, and changing consumer preferences are significant to our business model. Demand for electric vehicle products creates low-carbon opportunity, while battery supply chains may face climate-related disruption and compliance risk. Management continues to evaluate these risks."
DAL,Delta Air Lines,airlines,2021,"Carbon tax proposals, sustainable aviation fuel mandates, greenhouse gas emissions regulation, and energy transition policies could materially increase operating costs. Hurricanes, storms, heat, and extreme weather may disrupt flight operations. Climate litigation and environmental claims remain possible. Management continues to evaluate these risks."
WMT,Walmart,retail,2021,"Extreme weather, hurricanes, flooding, drought, and heat may disrupt stores, distribution centers, and suppliers. We monitor greenhouse gas emissions, renewable energy procurement, and energy efficiency initiatives, though climate risks are one of many operating risks. Management continues to evaluate these risks."
DUK,Duke Energy,utilities,2021,"Our operations face physical risk from hurricanes, wildfire, heat, drought, and water scarcity. Emissions regulation, renewable portfolio standards, decarbonization requirements, and coal plant retirement could require significant capital expenditure. We also see opportunity in renewable energy, energy efficiency, and low-carbon grid investment. Management continues to evaluate these risks."
CAT,Caterpillar,industrials,2021,"Emissions regulation, carbon price policies, decarbonization, and changing customer demand may affect heavy equipment markets. Physical risk from storms, flooding, and supply chain disruption could affect production. Clean technology and energy efficiency investments may create opportunity. Management continues to evaluate these risks."
JPM,JPMorgan Chase,financials,2021,"Climate-related disclosure, litigation, and compliance expectations may affect risk management. Borrowers may be exposed to flood, wildfire, drought, carbon price policies, and transition risk. We are developing sustainable product and green infrastructure financing capabilities. Management continues to evaluate these risks."
XOM,Exxon Mobil,energy,2022,"Climate change regulation, carbon price mechanisms, greenhouse gas emissions standards, and the energy transition could materially affect demand for our products and capital expenditure plans. Severe storms, hurricanes, flooding, and other extreme weather may disrupt refineries, pipelines, and supply chain operations. Environmental litigation and compliance proceedings may also adversely affect operating results. Management continues to evaluate these risks."
NEE,NextEra Energy,utilities,2022,"Our operations face physical risk from hurricanes, wildfire, heat, drought, and water scarcity. Emissions regulation, renewable portfolio standards, decarbonization requirements, and coal plant retirement could require significant capital expenditure. We also see opportunity in renewable energy, energy efficiency, and low-carbon grid investment. Management continues to evaluate these risks."
AAPL,Apple,technology,2022,"Climate-related matters may affect facilities, suppliers, and electricity procurement. Extreme weather could disrupt logistics or data center operations, but we do not expect a material adverse effect. We continue to purchase renewable energy and improve energy efficiency across operations. Management continues to evaluate these risks."
MSFT,Microsoft,technology,2022,"Climate-related matters may affect facilities, suppliers, and electricity procurement. Extreme weather could disrupt logistics or data center operations, but we do not expect a material adverse effect. We continue to purchase renewable energy and improve energy efficiency across operations. Management continues to evaluate these risks."
TSLA,Tesla,automobiles,2022,"Fuel economy rules, emissions regulation, electrification, and changing consumer preferences are significant to our business model. Demand for electric vehicle products creates low-carbon opportunity, while battery supply chains may face climate-related disruption and compliance risk. Management continues to evaluate these risks."
DAL,Delta Air Lines,airlines,2022,"Carbon tax proposals, sustainable aviation fuel mandates, greenhouse gas emissions regulation, and energy transition policies could materially increase operating costs. Hurricanes, storms, heat, and extreme weather may disrupt flight operations. Climate litigation and environmental claims remain possible. Management continues to evaluate these risks."
WMT,Walmart,retail,2022,"Extreme weather, hurricanes, flooding, drought, and heat may disrupt stores, distribution centers, and suppliers. We monitor greenhouse gas emissions, renewable energy procurement, and energy efficiency initiatives, though climate risks are one of many operating risks. Management continues to evaluate these risks."
DUK,Duke Energy,utilities,2022,"Our operations face physical risk from hurricanes, wildfire, heat, drought, and water scarcity. Emissions regulation, renewable portfolio standards, decarbonization requirements, and coal plant retirement could require significant capital expenditure. We also see opportunity in renewable energy, energy efficiency, and low-carbon grid investment. Management continues to evaluate these risks."
CAT,Caterpillar,industrials,2022,"Emissions regulation, carbon price policies, decarbonization, and changing customer demand may affect heavy equipment markets. Physical risk from storms, flooding, and supply chain disruption could affect production. Clean technology and energy efficiency investments may create opportunity. Management continues to evaluate these risks."
JPM,JPMorgan Chase,financials,2022,"Climate-related disclosure, litigation, and compliance expectations may affect risk management. Borrowers may be exposed to flood, wildfire, drought, carbon price policies, and transition risk. We are developing sustainable product and green infrastructure financing capabilities. Management continues to evaluate these risks."
XOM,Exxon Mobil,energy,2023,"Climate change regulation, carbon price mechanisms, greenhouse gas emissions standards, and the energy transition could materially affect demand for our products and capital expenditure plans. Severe storms, hurricanes, flooding, and other extreme weather may disrupt refineries, pipelines, and supply chain operations. Environmental litigation and compliance proceedings may also adversely affect operating results. The potential impact has become more significant this year."
NEE,NextEra Energy,utilities,2023,"Our operations face physical risk from hurricanes, wildfire, heat, drought, and water scarcity. Emissions regulation, renewable portfolio standards, decarbonization requirements, and coal plant retirement could require significant capital expenditure. We also see opportunity in renewable energy, energy efficiency, and low-carbon grid investment. The potential impact has become more significant this year."
AAPL,Apple,technology,2023,"Climate-related matters may affect facilities, suppliers, and electricity procurement. Extreme weather could disrupt logistics or data center operations, but we do not expect a material adverse effect. We continue to purchase renewable energy and improve energy efficiency across operations. Management continues to evaluate these risks."
MSFT,Microsoft,technology,2023,"Climate-related matters may affect facilities, suppliers, and electricity procurement. Extreme weather could disrupt logistics or data center operations, but we do not expect a material adverse effect. We continue to purchase renewable energy and improve energy efficiency across operations. Management continues to evaluate these risks."
TSLA,Tesla,automobiles,2023,"Fuel economy rules, emissions regulation, electrification, and changing consumer preferences are significant to our business model. Demand for electric vehicle products creates low-carbon opportunity, while battery supply chains may face climate-related disruption and compliance risk. Management continues to evaluate these risks."
DAL,Delta Air Lines,airlines,2023,"Carbon tax proposals, sustainable aviation fuel mandates, greenhouse gas emissions regulation, and energy transition policies could materially increase operating costs. Hurricanes, storms, heat, and extreme weather may disrupt flight operations. Climate litigation and environmental claims remain possible. The potential impact has become more significant this year."
WMT,Walmart,retail,2023,"Extreme weather, hurricanes, flooding, drought, and heat may disrupt stores, distribution centers, and suppliers. We monitor greenhouse gas emissions, renewable energy procurement, and energy efficiency initiatives, though climate risks are one of many operating risks. Management continues to evaluate these risks."
